,Date,HomeTeam,AwayTeam,Total_Points_HomeTeam,Total_Points_AwayTeam,FirstHalf_Points_HomeTeam,FirstHalf_Points_AwayTeam,SecondHalf_Points_HomeTeam,SecondHalf_Points_AwayTeam
30,01.09. 00:00,Bengaluru Bulls,Gujarat FortuneGiants,23,32,12,18,11,14
31,31.08. 01:00,Dabang Delhi,Patna Pirates,38,35,26,17,12,18
32,31.08. 00:00,Telugu Titans,Puneri Paltan,27,34,14,17,13,17
33,30.08. 00:00,Bengal Warriors,Tamil Thalaivas,35,26,15,14,20,12
34,29.08. 01:00,Dabang Delhi,U Mumba,40,24,14,11,26,13
35,29.08. 00:00,Gujarat FortuneGiants,Haryana Steelers,25,41,11,20,14,21
36,27.08. 01:00,UP Yoddha,Puneri Paltan,35,30,16,9,19,21
37,27.08. 00:00,Bengal Warriors,Haryana Steelers,33,36,17,18,16,18
38,26.08. 01:00,Dabang Delhi,UP Yoddha,36,27,15,11,21,16
39,26.08. 00:00,Jaipur Pink Panthers,Bengaluru Bulls,30,41,8,22,22,19
40,25.08. 01:00,Jaipur Pink Panthers,Telugu Titans,21,24,14,11,7,13
41,25.08. 00:00,Dabang Delhi,Bengaluru Bulls,33,31,11,19,22,12
42,24.08. 01:00,Tamil Thalaivas,U Mumba,24,29,12,10,12,19
43,24.08. 00:00,Gujarat FortuneGiants,Patna Pirates,29,26,11,15,18,11
44,23.08. 00:00,Bengal Warriors,Patna Pirates,35,26,15,14,20,12
45,22.08. 01:00,Tamil Thalaivas,Jaipur Pink Panthers,26,28,11,13,15,15
46,22.08. 00:00,Puneri Paltan,Bengaluru Bulls,31,23,10,10,21,13
47,20.08. 01:00,UP Yoddha,Jaipur Pink Panthers,31,24,16,10,15,14
48,20.08. 00:00,U Mumba,Haryana Steelers,27,30,8,16,19,14
49,19.08. 01:00,Tamil Thalaivas,Puneri Paltan,31,31,13,15,18,16
50,19.08. 00:00,Haryana Steelers,Telugu Titans,29,40,13,21,16,19
51,18.08. 01:00,Bengal Warriors,Dabang Delhi,30,30,11,18,19,12
52,18.08. 00:00,Tamil Thalaivas,Bengaluru Bulls,21,32,10,17,11,15
53,17.08. 01:00,Gujarat FortuneGiants,Jaipur Pink Panthers,19,22,9,10,10,12
54,17.08. 00:00,U Mumba,Patna Pirates,34,30,22,9,12,21
55,16.08. 00:00,Jaipur Pink Panthers,Puneri Paltan,33,25,17,11,16,14
56,15.08. 01:00,Gujarat FortuneGiants,Bengal Warriors,26,28,12,17,14,11
