,Rank,Name,MP,AOC
0,1,Puneri Paltan,18,27
1,2,Tamil Thalaivas,18,26
2,3,U.P. Yoddha,17,21
3,3,Bengaluru Bulls,17,21
4,5,Telugu Titans,16,20
5,6,Haryana Steelers,16,19
6,6,Patna Pirates,17,19
7,6,Gujarat Fortunegiants,17,19
8,9,U Mumba,16,17
9,9,Jaipur Pink Panthers,17,17
10,11,Bengal Warriors,17,14
11,12,Dabang Delhi K.C.,16,12
